time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z state
16.2 0.787671 0.378979 0.335308 11.6357 -11.6357 0.0104449 3 -0.459022 0.0480112 -0.531759 left
16.3 0.743583 0.33844 0.296681 11.9545 -11.9545 0.0100468 3 -0.458173 0.0464454 -0.533233 left
16.4 0.692766 0.338834 0.281262 11.9514 -11.9514 0.0100507 3 -0.46054 0.0446335 -0.53298 left
16.5 0.652696 0.349933 0.279412 11.8641 -11.8641 0.0101597 3 -0.460348 0.0457721 -0.533479 left
16.6 0.61748 0.36839 0.268573 11.719 -11.719 0.0103409 3 -0.458226 0.0452819 -0.533963 left
16.7 0.588778 0.386908 0.266357 -11.5734 -11.5734 0.0105228 3 -0.455814 0.0461219 -0.534611 forward
16.8 0.602998 0.298905 0.203155 -12.2654 -12.2654 0.00965857 3 -0.429164 0.0464552 -0.517754 forward
16.9 0.609748 0.274237 0.16598 -12.4594 -12.4594 0.00941633 3 -0.384822 0.047961 -0.489298 forward
17 0.62779 0.263062 0.171402 -12.5473 -12.5473 0.00930659 3 -0.346107 0.0441045 -0.462477 forward
17.1 0.631327 0.244089 0.132828 -12.6965 -12.6965 0.00912026 3 -0.314056 0.0533851 -0.445689 forward
17.2 0.636507 0.196623 0.156072 -13.0698 -13.0698 0.00865414 3 -0.287257 0.0612028 -0.432006 forward
17.3 0.630995 0.173659 0.253392 -12.6233 -12.6233 0.00921162 3 -0.246419 0.0555266 -0.393666 forward
17.4 0.650961 0.165003 0.20732 12.9856 -12.9856 0.00875919 3 -0.207001 0.0418969 -0.368603 left
17.5 0.600497 0.189553 0.220285 -12.8837 -12.8837 0.00888651 3 -0.211573 0.049895 -0.37775 forward
17.6 0.584251 0.181825 0.265639 -12.527 -12.527 0.00933189 3 -0.182096 0.052657 -0.377488 forward
17.7 0.574853 0.149216 0.212076 -12.9482 -12.9482 0.00880589 3 -0.137379 0.0419374 -0.373299 forward
17.8 0.594088 0.122757 0.245912 -12.6821 -12.6821 0.00913817 3 -0.102356 0.054941 -0.356966 forward
17.9 0.613193 0.0988223 0.303848 -12.2265 -12.2265 0.00970711 3 -0.0534097 0.0631082 -0.328675 forward
18 0.628341 0.103233 0.248761 -12.6597 -12.6597 0.00916614 3 -0.00644221 0.0481357 -0.306866 forward
18.1 0.648384 0.0892254 0.33848 11.9542 -11.9542 0.0100472 3 0.0398605 0.0463754 -0.286812 left
18.2 0.641272 0.197931 0.369534 11.71 -11.71 0.0103522 3 0.0691953 0.0621944 -0.264417 left
18.3 0.62537 0.191862 0.515663 10.5608 -10.5608 0.0117872 3 0.102327 0.054602 -0.261868 left
18.4 0.543051 0.171416 0.587065 -9.99932 -9.99932 0.0124883 3 0.108292 0.0571141 -0.243827 forward
18.5 0.528524 0.137858 0.493112 -10.7382 -10.7382 0.0115657 3 0.127465 0.0436222 -0.252512 forward
18.6 0.528142 0.103601 0.41162 -11.379 -11.379 0.0107654 3 0.160436 0.043003 -0.270269 forward
18.7 0.531123 0.0778776 0.349816 -11.8651 -11.8651 0.0101585 3 0.198669 0.049076 -0.287465 forward
18.8 0.537964 0.060072 0.304498 -12.2214 -12.2214 0.00971349 3 0.240205 0.0504326 -0.302788 forward
18.9 0.546442 0.0481868 0.284629 -12.3777 -12.3777 0.00951837 3 0.283144 0.0442816 -0.32016 forward
19 0.551602 0.0456112 0.310534 -12.174 -12.174 0.00977277 3 0.326374 0.0418306 -0.340106 forward
19.1 0.549884 0.0859266 0.269491 -12.4967 -12.4967 0.00936972 3 0.368224 0.0459249 -0.358066 forward
19.2 0.51901 0.0790322 0.300292 -12.2545 -12.2545 0.00967219 3 0.383543 0.0445988 -0.353886 forward
19.3 0.51223 0.113737 0.333549 -11.993 -11.993 0.00999877 3 0.391218 0.0447603 -0.34922 forward
19.4 0.511556 0.118996 0.35974 -11.787 -11.787 0.010256 3 0.395614 0.0465804 -0.348039 forward
19.5 0.52568 0.0897181 0.381441 -11.6163 -11.6163 0.0104691 3 0.395256 0.0486755 -0.348831 forward
19.6 0.519337 0.129137 0.385227 -11.5866 -11.5866 0.0105063 3 0.396846 0.0494115 -0.351577 forward
19.7 0.526172 0.13378 0.332798 -11.9989 -11.9989 0.0099914 3 0.405388 0.0499825 -0.357819 forward
19.8 0.518628 0.167431 0.322224 -12.082 -12.082 0.00988756 3 0.417538 0.0538847 -0.373776 forward
19.9 0.512842 0.132089 0.339029 -11.9499 -11.9499 0.0100526 3 0.433424 0.0622145 -0.39056 forward
20 0.486319 0.172181 0.305802 -12.2112 -12.2112 0.00972629 3 0.449058 0.070369 -0.416312 forward
20.1 0.449261 0.185404 0.267846 -12.5097 -12.5097 0.00935357 3 0.457672 0.0702 -0.441978 forward
20.2 0.417026 0.227595 0.238062 -12.7439 12.7439 0.00906108 3 0.464866 0.0722441 -0.453878 right
20.3 0.395403 0.231595 0.288307 -12.3488 12.3488 0.00955449 3 0.464512 0.0737405 -0.468603 right
20.4 0.448641 0.265817 0.339458 -11.9465 -11.9465 0.0100568 3 0.465309 0.0685533 -0.466417 forward
