% # columns="iteration, evaluation, void, void, void, xmean", seed=79710, Mon Jan 15 12:14:22 2018, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
89 979 0 0 0 3.89370141072 3.5677636582 11.238269985 -1.01305135202 1.08900424824 -0.116852112899 14.7977924529 16.6979205305 10.6488463049 -7.69426641377 10.9477491307 0.354773217113 9.9396953458 11.3191403252
90 990 0 0 0 4.00184383425 3.9633447121 11.8170871793 -1.10221140682 1.4524218094 -0.168160960101 15.0114939003 16.627183051 10.8880461191 -7.47059644554 10.9567375024 0.376023689059 9.64314143554 11.4697927392
91 1001 0 0 0 3.56692523286 3.97396121404 11.848243785 -1.21142049276 1.53089437534 -0.189339947951 15.2063301499 17.1331310211 10.9198096165 -7.68189855406 10.7435400472 0.602976143035 9.489359986 11.5133803403
92 1012 0 0 0 3.61013227453 4.1323031185 12.1388879714 -0.949603876097 1.43501842063 -0.284604684729 15.2430726557 17.4144414932 11.0210791188 -7.62000359158 10.8184723767 0.75612390436 9.28806661935 11.486263785
93 1023 0 0 0 3.70477338844 3.7739567491 11.9273880954 -0.819548333802 1.54573216961 -0.0939955146158 15.315822596 17.3817364771 11.081963451 -7.96032202489 10.8522678721 0.859289853782 9.08117891312 11.322915405
94 1034 0 0 0 3.78789956115 3.79187499874 11.6042431774 -0.781002595788 1.6719922498 0.145572654881 15.0464626265 17.400378576 11.0873003256 -7.73574822168 10.8332392693 0.760863057548 9.24155419837 11.3341102497
95 1045 0 0 0 3.71050966239 4.09347101751 11.4493338729 -0.739582442115 1.6919999152 -0.0843712413437 14.8225942349 17.7036005887 11.2650035463 -7.87501767518 10.9585530566 0.988460786157 9.24570594284 11.3408505398
96 1056 0 0 0 3.62493980117 4.46103770847 11.3147661427 -0.664909671909 1.88381916491 -0.472037686969 14.9299479874 17.6306807588 11.8880519503 -8.0161162442 11.2747349099 0.860694495684 9.09606398861 11.3317497531
97 1067 0 0 0 3.56019040477 4.27076442361 11.476007482 -0.835522539086 1.82443952018 -0.366730830435 14.97429535 17.7566349802 11.4425576375 -7.95632364186 10.9698981106 0.816036690484 9.23421486499 11.3463769835
98 1078 0 0 0 3.58394267472 3.9952404235 11.7945653333 -0.816734414967 1.86634675016 -0.491495238009 15.0432473629 18.0110796149 11.2411760596 -7.93451227735 11.114160001 0.729289047959 9.30361374674 11.3272561719
