angle,angular error,linear error,left speed,right speed,extension
0.3,0.6,0.7,1.00601,0,4.67144
0.3,0.6,0.8,0.981907,0,4.56894
0.3,0.6,0.9,0.957807,0,4.46644
0.3,0.6,1,0.933707,0,4.36394
0.3,0.7,0,1.05221,0,5.48904
0.3,0.7,0.1,1.02811,0,5.38654
0.3,0.7,0.2,1.00401,0,5.28404
0.3,0.7,0.3,0.979907,0,5.18154
0.3,0.7,0.4,0.955807,0,5.07904
0.3,0.7,0.5,0.931707,0,4.97654
0.3,0.7,0.6,0.907607,0,4.87404
0.3,0.7,0.7,0.883507,0,4.77154
0.3,0.7,0.8,0.859407,0,4.66904
0.3,0.7,0.9,0.835307,0,4.56654
0.3,0.7,1,0.811207,0,4.46404
0.3,0.8,0,0.929707,0,5.58914
0.3,0.8,0.1,0.905607,0,5.48664
0.3,0.8,0.2,0.881507,0,5.38414
0.3,0.8,0.3,0.857407,0,5.28164
0.3,0.8,0.4,0.833307,0,5.17914
0.3,0.8,0.5,0.809207,0,5.07664
0.3,0.8,0.6,0.785107,0,4.97414
0.3,0.8,0.7,0.761007,0,4.87164
0.3,0.8,0.8,0.736907,0,4.76914
0.3,0.8,0.9,0.712807,0,4.66664
0.3,0.8,1,0.688707,0,4.56414
