Angle,Linear Error,Angular Error,Left Speed,Right Speed,Weg Extension
0.3,0.4,0.7,0.327023,0.435083,0.926469
0.3,0.4,0.8,0.313196,0.491466,0.945842
0.3,0.4,0.9,0.299693,0.548066,0.96033
0.3,0.4,1,0.286529,0.60345,0.97106
0.3,0.5,0,0.482382,0.127173,0.578076
0.3,0.5,0.1,0.46654,0.154571,0.655065
0.3,0.5,0.2,0.450765,0.18661,0.724697
0.3,0.5,0.3,0.435088,0.223534,0.784888
0.3,0.5,0.4,0.41954,0.26538,0.834916
0.3,0.5,0.5,0.404151,0.311913,0.875161
0.3,0.5,0.6,0.388947,0.362579,0.906691
0.3,0.5,0.7,0.373957,0.416492,0.930886
0.3,0.5,0.8,0.359204,0.47248,0.949159
0.3,0.5,0.9,0.344713,0.529169,0.962794
0.3,0.5,1,0.330505,0.585116,0.972877
0.3,0.6,0,0.533923,0.118968,0.594257
0.3,0.6,0.1,0.518082,0.144892,0.669979
0.3,0.6,0.2,0.502205,0.175341,0.737805
0.3,0.6,0.3,0.486323,0.210612,0.795937
0.3,0.6,0.4,0.470469,0.250821,0.843907
0.3,0.6,0.5,0.454675,0.295829,0.882269
0.3,0.6,0.6,0.438971,0.345192,0.912183
0.3,0.6,0.7,0.423388,0.398135,0.935057
0.3,0.6,0.8,0.407956,0.453574,0.952284
0.3,0.6,0.9,0.392704,0.510189,0.965112
0.3,0.6,1,0.377658,0.566543,0.974583
0.3,0.7,0,0.584749,0.111225,0.610235
0.3,0.7,0.1,0.569242,0.135722,0.684558
0.3,0.7,0.2,0.553598,0.164614,0.750504
0.3,0.7,0.3,0.537847,0.198246,0.806558
0.3,0.7,0.4,0.522021,0.236803,0.852494
0.3,0.7,0.5,0.50615,0.280236,0.889023
0.3,0.7,0.6,0.490266,0.32821,0.917382
0.3,0.7,0.7,0.474402,0.380061,0.938992
0.3,0.7,0.8,0.45859,0.434801,0.955225
0.3,0.7,0.9,0.442861,0.491178,0.967289
0.3,0.7,1,0.427245,0.547781,0.976184
0.3,0.8,0,0.633834,0.103926,0.62598
0.3,0.8,0.1,0.618966,0.127045,0.698783
0.3,0.8,0.2,0.603871,0.154421,0.762785
0.3,0.8,0.3,0.588576,0.186435,0.816754
0.3,0.8,0.4,0.573107,0.223334,0.860687
0.3,0.8,0.5,0.557495,0.265156,0.895436
0.3,0.8,0.6,0.541767,0.311666,0.9223
0.3,0.8,0.7,0.525957,0.362313,0.942703
0.3,0.8,0.8,0.510094,0.416213,0.957993
0.3,0.8,0.9,0.49421,0.472194,0.969336
0.3,0.8,1,0.478339,0.528883,0.977687
0.3,0.9,0,0.680289,0.0970545,0.641463
0.3,0.9,0.1,0.666314,0.118847,0.712636
0.3,0.9,0.2,0.65204,0.144749,0.774644
0.3,0.9,0.3,0.637488,0.175174,0.826528
0.3,0.9,0.4,0.62268,0.210421,0.868495
0.3,0.9,0.5,0.607639,0.250605,0.901519
0.3,0.9,0.6,0.592391,0.295589,0.926948
0.3,0.9,0.7,0.576963,0.344932,0.946202
0.3,0.9,0.8,0.561384,0.39786,0.960597
0.3,0.9,0.9,0.545682,0.453289,0.971258
0.3,0.9,1,0.529889,0.509901,0.979097
0.3,1,0,0.723422,0.090591,0.656657
0.3,1,0.1,0.71053,0.111111,0.726101
0.3,1,0.2,0.697289,0.135587,0.786076
0.3,1,0.3,0.683711,0.164456,0.835886
0.3,1,0.4,0.669813,0.198064,0.875929
0.3,1,0.5,0.655612,0.236595,0.907285
0.3,1,0.6,0.641127,0.280004,0.931338
0.3,1,0.7,0.62638,0.327957,0.949498
0.3,1,0.8,0.611395,0.37979,0.963046
0.3,1,0.9,0.596196,0.434518,0.973063
0.3,1,1,0.58081,0.490891,0.980419
0.4,0,0,0.30428,0.176983,0.490654
0.4,0,0.1,0.290998,0.2125,0.571778
0.4,0,0.2,0.278065,0.252954,0.649219
0.4,0,0.3,0.265491,0.298192,0.719526
0.4,0,0.4,0.253287,0.347755,0.780505
0.4,0,0.5,0.241458,0.400851,0.831334
0.4,0,0.6,0.230013,0.456381,0.872318
0.4,0,0.7,0.218953,0.513017,0.904487
0.4,0,0.8,0.208281,0.569321,0.92921
0.4,0,0.9,0.197997,0.623887,0.947901
0.4,0,1,0.188101,0.675481,0.96186
0.4,0.1,0,0.349645,0.166177,0.507329
0.4,0.1,0.1,0.335338,0.200052,0.588028
0.4,0.1,0.2,0.321327,0.238854,0.664256
0.4,0.1,0.3,0.307631,0.282525,0.732789
0.4,0.1,0.4,0.294265,0.330711,0.791719
0.4,0.1,0.5,0.281244,0.382732,0.840482
0.4,0.1,0.6,0.26858,0.437585,0.879565
0.4,0.1,0.7,0.256283,0.494008,0.910097
0.4,0.1,0.8,0.24436,0.550584,0.933474
0.4,0.1,0.9,0.232819,0.605881,0.951099
0.4,0.1,1,0.221663,0.658593,0.964233
0.4,0.2,0,0.397905,0.155905,0.523989
0.4,0.2,0.1,0.382786,0.188159,0.604088
0.4,0.2,0.2,0.36789,0.225304,0.678967
0.4,0.2,0.3,0.353242,0.267368,0.745647
0.4,0.2,0.4,0.338864,0.3141,0.802506
0.4,0.2,0.5,0.324778,0.364932,0.849224
0.4,0.2,0.6,0.311002,0.418966,0.886455
0.4,0.2,0.7,0.297552,0.475016,0.915408
0.4,0.2,0.8,0.284445,0.531702,0.937499
0.4,0.2,0.9,0.271691,0.587582,0.95411
0.4,0.2,1,0.259302,0.641293,0.966464
0.4,0.3,0,0.448236,0.146156,0.540595
0.4,0.3,0.1,0.432578,0.176816,0.619927
0.4,0.3,0.2,0.417054,0.212308,0.693331
0.4,0.3,0.3,0.401692,0.252737,0.758091
0.4,0.3,0.4,0.386521,0.297952,0.812866
0.4,0.3,0.5,0.371567,0.347495,0.857569
0.4,0.3,0.6,0.356855,0.400575,0.892998
0.4,0.3,0.7,0.342408,0.456096,0.920433
0.4,0.3,0.8,0.328248,0.51273,0.941295
0.4,0.3,0.9,0.314393,0.569039,0.956944
0.4,0.3,1,0.300861,0.623617,0.96856
0.4,0.4,0,0.49965,0.136919,0.557112
0.4,0.4,0.1,0.483771,0.166017,0.635515
0.4,0.4,0.2,0.467924,0.199868,0.70733
0.4,0.4,0.3,0.452142,0.238645,0.770113
0.4,0.4,0.4,0.436455,0.282292,0.822802
0.4,0.4,0.5,0.420895,0.330457,0.865524
0.4,0.4,0.6,0.40549,0.38246,0.899208
